Datum i vrijeme,Prognozirano opterecenje
2021-01-15T00:00:00,6308.36
2021-01-15T01:00:00,7913.27
2021-01-15T02:00:00,7825.44
2021-01-15T03:00:00,6995.13
2021-01-15T04:00:00,7583.33
2021-01-15T05:00:00,8009.61
2021-01-15T06:00:00,8060.04
2021-01-15T07:00:00,8032.02
2021-01-15T08:00:00,7689.94
2021-01-15T09:00:00,7448.92
2021-01-15T10:00:00,6851.0
2021-01-15T11:00:00,7114.1
2021-01-15T12:00:00,7351.67
2021-01-15T13:00:00,5526.1
2021-01-15T14:00:00,5974.61
2021-01-15T15:00:00,5649.67
2021-01-15T16:00:00,5431.83
2021-01-15T17:00:00,5431.98
2021-01-15T18:00:00,5431.83
2021-01-15T19:00:00,5433.58
2021-01-15T20:00:00,5440.54
2021-01-15T21:00:00,5441.19
2021-01-15T22:00:00,5433.1
2021-01-15T23:00:00,5423.11
2021-01-16T00:00:00,5420.74
2021-01-16T01:00:00,5428.87
2021-01-16T02:00:00,5418.9
2021-01-16T03:00:00,7272.54
2021-01-16T04:00:00,5421.03
2021-01-16T05:00:00,5321.24
2021-01-16T06:00:00,5425.57
2021-01-16T07:00:00,7913.68
2021-01-16T08:00:00,10678.6
2021-01-16T09:00:00,10990.47
2021-01-16T10:00:00,10857.87
2021-01-16T11:00:00,6400.96
2021-01-16T12:00:00,6276.23
2021-01-16T13:00:00,8616.7
2021-01-16T14:00:00,11111.0
2021-01-16T15:00:00,10755.81
2021-01-16T16:00:00,10118.47
2021-01-16T17:00:00,9521.01
2021-01-16T18:00:00,6926.9
2021-01-16T19:00:00,7913.48
2021-01-16T20:00:00,5964.96
2021-01-16T21:00:00,7814.36
2021-01-16T22:00:00,6418.95
2021-01-16T23:00:00,6310.33
2021-01-17T00:00:00,7120.88
2021-01-17T01:00:00,6921.51
2021-01-17T02:00:00,6375.97
2021-01-17T03:00:00,6642.93
2021-01-17T04:00:00,6209.85
2021-01-17T05:00:00,6614.99
2021-01-17T06:00:00,7146.36
